Name,Rating Average,Complexity Average
Ascension: Deckbuilding Game,7.03,2.15
6 nimmt!,6.92,1.21
Summoner Wars: Alliances Master Set,8.11,2.72
Telestrations: 12 Player Party Pack,7.76,1.08
D-Day at Omaha Beach,8.26,3.45
Churchill,7.67,3.26
Saint Petersburg (Second Edition),7.51,2.68
1989: Dawn of Freedom,7.79,3.30
Feudum,7.67,4.58
My Little Scythe,7.37,2.01
Diplomacy,7.04,3.36
Reef,7.10,1.83
Caverna: Cave vs Cave,7.19,2.58
Among the Stars,7.08,2.23
Ex Libris,7.21,2.56
Prêt-à-Porter,7.41,3.61
Super Motherload,7.39,2.30
Warhammer: Invasion,7.22,2.73
Space Hulk: Death Angel - The Card Game,6.99,2.42
Cribbage,7.05,1.90
Washington's War,7.63,2.84
King of New York,6.96,1.87
Villagers,7.35,2.22
Vast: The Crystal Caverns,7.17,3.60
Conflict of Heroes: Awakening the Bear! - Russia 1941-42,7.51,3
Deep Sea Adventure,6.99,1.18
Vasco da Gama,7.25,3.23
The Mind,6.91,1.08
Kanagawa,7.10,2.03
Wits & Wagers,6.93,1.21
Smartphone Inc.,7.75,2.76
Panamax,7.33,3.76
Exit: The Game - The Secret Lab,7.13,2.58
Oh My Goods!,7.01,2.30
13 Days: The Cuban Missile Crisis,7.31,2.35
Dungeons & Dragons: The Legend of Drizzt Board Game,7.25,2.59
Tribune: Primus Inter Pares,7.23,2.87
Napoleon's Triumph,7.97,3.65
Yedo,7.38,3.35
Blue Moon City,7.04,2.30
Disney Villainous,7.06,2.41
One Deck Dungeon,7.07,2.05
Finca,7.07,2.08
Marvel Dice Masters: Avengers vs. X-Men,7.16,2.30
Tajemnicze Domostwo,7.18,1.86
XCOM: The Board Game,7.06,2.90
Spyfall,6.88,1.24
City of the Big Shoulders,7.93,4.05
FUSE,7.06,1.67
Squad Leader,7.51,4.04
Warhammer Underworlds: Shadespire,7.78,2.46
Blokus,6.88,1.77
Jambo,7.01,2.07
Lords of Xidit,7.14,2.62
Century: A New World,7.48,2.13
Civilization: A New Dawn,7.31,3.07
Zombie Kidz Evolution,7.89,1.42
The Pursuit of Happiness,7.24,2.49
Cooper Island,7.72,4.16
Reef Encounter,7.14,3.68
ZÈRTZ,7.29,2.74
A Fake Artist Goes to New York,7.17,1.16
