Name,Rating Average,Complexity Average
Bardagi: The Claim for Gold,5.99,2.67
Monkey See Monkey Do,5.67,1
Merry Yard,5.63,1
Skunk,5.70,1
Clue: Supernatural,5.96,1.50
Holidays,5.61,1
Donna Leon: Gefährliches Spiel,5.54,1.88
Creature College,5.84,2.17
Horrific,5.80,3.29
Farlander,5.55,1.64
"Cthulhu!!!: Hastur La Vista, Baby!",5.62,1.50
Big Picture Apples to Apples,5.65,1
Operation Rescue Kit,5.71,1
Marvel Contest of Champions: Battlerealm,5.71,0
Crowns,5.69,1
The Perilous Parlor Game,5.56,1.78
"Right Turn, Left Turn",5.52,1.14
Bigfoot,5.56,1.86
Power Play,5.66,1.67
Streifen Toni,5.61,1.50
Numeri,5.60,1.50
Tunebaya,5.60,1.20
Geister & Gespenster,5.61,1
Shadow Games,5.53,0
Limite limite,5.63,0
Cardino,5.52,1.14
Schoko-Hexe,5.60,1
Der grosse Gallier,5.58,1.75
Zocken,5.57,1.17
Lexicon,5.61,1.45
Shooting Star,5.75,1.50
Sahara,5.59,1.38
Sumo Slam!,5.71,0
Cards vs Dice: Strategically Lucky,5.64,1
Bim Bamm!,5.59,1
YAK,5.56,1
Sucking Vacuum,5.59,1.75
Gangster,5.69,2.50
Racko Plus,5.61,1
13 Chefs,5.61,1
Ragers: Champions of the Arena,5.80,1
Operation Cerberus: The Channel Dash,5.59,1.60
Programmer's Nightmare,5.66,2.67
Swoggle,5.66,1.50
Boarding Party,5.77,1.80
Schuss und Tor,5.58,1
Uxmal,5.56,2
Alcatraz,5.50,1.95
Crystal Faire,5.57,2.33
Army of Darkness,5.63,1.50
All-Pro Football,5.61,1.50
Avalon,5.68,1.82
Fruit Salad,5.58,1
WobBally,5.57,1
"Baton Rouge: Street Fighting in the Louisiana Capital, August 5, 1862",5.73,3.22
Das Blaue Amulett,5.60,1.75
Kids On Stage,5.69,1
Bombay Bazar,5.48,1.38
Tuf-abet,5.61,1.50
Airways,5.61,2.33
Spy,5.52,1.28
Villainy: The Supervillainous Card Game,5.62,1.75
J'te Gage Que... 2,5.72,1
GRO: Battle for the Petri Dish,5.59,2.50
Kroko Loko,5.76,1
Scriba,5.62,1.33
T.E.G. II,5.76,2.60
Family Alias,5.87,1.50
ApocalypZe Card Game,5.85,2.20
The Battle of Agincourt,5.67,2.50
Rotundo,5.57,1.44
"MacArthur: The Road to Bataan, Dec 1941 - Jan 1942",5.78,2.67
Crazier Eights,6.41,1
Whack a Catgirl,5.61,1.20
Apocalypse Universe: Galactic Arena,6.33,1.33
Query,7.01,1.50
AMC Reel Clues,5.73,1.91
Strange New Worlds,5.70,3
Vendetta,5.66,2
Frankenstein,5.70,1
Go Mental,5.64,1.60
Robin Hood,5.53,1.75
Freche Frösche,5.61,1
Never Call Retreat,5.69,2.86
Scene It? Disney Second Edition,5.72,1
Space Pirates,5.66,1.85
Floppy Ears,5.59,2
Zanzibar,5.57,2.19
Freaky,5.72,1
Tumba,5.56,1
Dipole,5.61,2.88
Desert War: Tactical Warfare in North Africa,5.69,3.13
Cleopatra's Caboose,5.53,2.36
Making Profit: The Boardgame,5.56,1.67
Seven Card Samurai,5.57,1.29
Bonaparte,5.68,4
Bunker Hill,5.82,3.13
Swintus 2.0,5.73,1.25
Luther: Das Spiel,5.56,1.50
Mind Maze,5.55,1.40
Guilty Gods,5.61,2.33
Scattergories To Go,5.87,1
Grunwald: Walka 600-lecia,5.63,1.67
Nautic Miles,5.84,1.60
High School Drama: Varsity Edition,5.76,1.40
Cups,5.60,2.20
Campaigns of Napoleon,5.72,4.25
Ostfriesenlauf,5.59,1
Canadian Civil War: La Guerre de la Sécession du Canada,5.59,3.10
Electric Jeopardy Game,5.61,2
Wormlord,5.94,1
"Sweet Honey, Bee Mine!",5.57,0
Bubble Jungle,5.53,1
HeroCard Champion of New Olympia,5.70,2.11
Clumsy Thief,5.90,1
How to Host a Mystery: Star Trek - The Next Generation,5.58,2
Dragon Whisperer,5.78,1.63
Octrix,5.59,1.67
Power Yahtzee,5.68,1.50
Rycerze i Zamki,5.58,1.60
Peek-a-Boo!,5.69,1.40
Laser Battle,5.56,2
Kampf um Rom,5.58,3.20
Are You A Robot?,5.56,1
Hide & Seek Safari,5.57,1.33
Moscow to Paris,5.66,0
Hats Off,5.57,1
Last One Lost,5.61,1
Putin Strikes: The Coming War for Eastern Europe,6.04,2.67
Nosey Neighbor Card Game,5.59,1.09
Spline,5.76,1
Hamster Clan,5.72,1
Quak,5.56,1
Tricksters,5.76,2.67
Gladiatori,5.92,3.78
Scrooge: The Board Game,6.63,0
The Simpsons Group Photo,5.76,1
Fishy,5.59,1.25
Vagabondo,5.70,1.60
Constellation,5.69,2
Discount Salmon,5.65,1
Gang Up!,5.72,1.50
Die kleinen Drachenritter,5.58,1.50
Chaos,5.79,2
Si j'étais Président...,5.58,1
Roundforest,5.97,2
Pit Fighter: Fantasy Arena,5.57,1.80
Mucho Macho,5.56,0
Kingdom Hearts TCG,5.98,1.60
Massive Darkness 2: Hellscape,5.10,3
Stonewall,5.86,1.67
Sicily '43: The Beginning of the End,5.70,2.75
Robin Hood,5.59,2.40
Risk: Captain America - Civil War Edition,5.60,2
Array,5.70,1
ASAP,5.53,1.20
Fortresses & Clans,6.60,3
The Presidential,5.84,1.75
Good Question!,5.56,1.15
Rolit Travel,5.58,2
Sequence Cats,5.58,1.33
Schwarzmarkt,5.58,1.64
Goofy Golf Machine,5.90,1.57
Dodge City,5.58,2.60
Dreaming Dragon,5.65,1
Big League Baseball,5.57,2
Party & Co Disney,5.72,0
Rubout,5.64,1.77
Thumbs Up!,5.59,1
Titus Tentacle,5.53,1
Act Too,5.64,1
The Crow: Fire It Up!,5.44,3
Top Gun: Plot Twist Party Game,5.60,1
The Hollywood! Card Game,5.53,1.31
Sequence Dice,5.53,1
Forest,5.64,1
SS Panzer: Bloodbath at Kursk,5.81,2.78
Glücks-Piraten,5.57,1.20
Arnhem 1944,5.77,3.50
Versailles,5.56,1.50
Taverne de la Licorne,5.56,0
Trivial Pursuit DVD Disney Edition,5.64,1.67
Der Weg nach Drakonia,5.49,2.40
Game Developerz,5.31,1.75
Ghostbusters: The Card Game,5.60,0
Battle of the Five Armies,5.69,2.71
Wie Hund und Katz!,5.59,1.50
Doorways to Adventure,5.64,1.40
Empire (Third Edition),5.76,5
The Hobbit: An Unexpected Journey,5.63,1.43
The Incredible Hulk Smash,5.58,1
Honfoglaló,5.64,2
Knuckle Sammich: A Kobolds Ate My Baby! Card Game,5.60,1
Diceball!,5.70,1.56
Blitz,5.54,1.12
Sudden Death!,5.56,1.80
Operation Apocalypse,5.77,2.67
Rollers Deluxe,5.83,1.33
Solferino: 24 Juin 1859,5.79,2.80
Oss,5.70,1.11
Toppling the Reich: The Battles for the Westwall,5.58,3.36
Pingwiny z Madagaskaru,5.54,2.25
Shapes & Colors,5.70,1
Der Herr der Ringe: Die Rückkehr des Königs,5.64,2.50
Cirondo,5.62,3
Grand Tribunal,5.51,2.61
Port Arthur: The Russo-Japanese War,5.69,2.36
Four Twenty-one,5.57,1
U-Boat,5.68,2.30
The American Goldrush 1849,5.61,1
Sovereign Of The Seas,5.87,2
Manhunt,5.73,1.40
Pitch Six,5.55,1.71
Mine!,5.47,2.40
Star Wars: Rule the Galaxy,5.48,1
Convocados,5.69,1.33
nullern,5.60,1.75
Reanimator,5.71,0
La Trel,5.52,1.75
Battlecards: World Conflict - Pacific Theatre: Starter Set,5.59,1.86
Big Foot,5.79,1
"Tito and his Partisan Army: Yugoslavia, 1941-45",5.66,2.67
Digit,5.55,1.33
Babylon,5.53,1.63
Cock Block,5.84,2
Kombat Kittens,5.73,1.50
With Sword and Shield,6.03,1.67
Escape from Altassar,5.67,2.33
Last Minute,5.56,1
Tilt'n Tumble,5.59,1
Seega,5.73,2.20
Pizzeria Italia,5.64,1
Brilliant Lances,5.56,3
Dr. Hrubec,5.65,2.25
Phase,5.88,2
Grimslingers: Advanced Duels,5.55,1
Exago,5.60,1.40
Monopoly: The Big Bang Theory,6.01,0
Srebrna flota,5.71,3.22
Meteor Strike,5.63,1
Aguila Roja,5.89,2.33
Professor Pugnacious,5.69,2.17
"Supercharge: Battle of El Alamein, October 1942",5.61,2
Neko-in,5.54,1
Lifetime,5.54,1
Prime Wars,5.63,1.13
"Birds, Bugs and Beans",5.51,1
Finders keepers!,5.53,1.33
Life & Legend,6.90,3
Pain Doctors: The Game of Recreational Surgery,5.75,1.67
Scorpion,5.58,3
Groovy Pips,5.60,1.25
Würfel Express,5.57,2.33
Psychologizer,6.19,1.33
La Segunda Guerra Mundial,5.63,1.63
Columbus,5.57,1.75
Goblin Dice,5.64,2
Nessie Hunt,5.77,1.67
Dilbert: The Board Game,5.62,1.76
Get Out,5.54,1.50
Caramba!,5.59,1.71
Kuhno,5.53,1
Eternas,5.55,1
Sedition Wars: Battle for Alabaster,5.64,3
Cluedo: Die drei ???,5.77,1.50
Xoom Cubes,5.39,1.33
Monkey Butt,6.16,1.67
Revolución,5.53,1.25
Mafia,5.55,1.50
Rolf,5.57,1.50
Ringside,5.54,2
Arktia,5.49,2.33
Bushi,5.58,2.50
War in the Aegean,5.73,3.80
My First Triominos,5.60,0
Weapons & Warriors: Cavalry Attack Set,5.53,0
Babuschka,5.48,1.86
Samurai Jack: Back to the Past,6.07,2
Zeepkistenrace,5.59,1
Shuffle My Little Pony,5.57,1
Wash Dash,5.62,1
Chip-Chip Hurra,5.47,1.11
Avista,5.53,1
Gambler,5.57,1.15
Globetrotters,5.76,1.75
Justice League: Axis of Villains Strategy Game,5.57,1.50
Il Trono di Mortadella,6.05,1
Space Bowl,5.95,1
Raiding Parties: Golden Age of Piracy,6.32,1.67
The Touch,5.58,0
Mount Pingo,5.62,1
The 90's Game,5.80,1.40
Tops,5.52,1.25
Wordrop,5.57,1.60
Contigo,5.70,2.25
Lady Richmond: Ein erzocktes Erbe,5.53,1.40
Sky Runner,5.55,1.57
Borneo,5.55,2.15
Cave Pilot 55,6.56,3
Ring it!,5.52,1
Taboo Quick Draw,5.64,1.33
Dead Stop!,5.53,1.75
Mucks Mäuschen Still,5.52,1
Kesselschlacht: Ukraine Spring 1944,5.56,3.18
Stone Soup,5.65,1
Casbah,5.52,1
Stellar Armada,5.66,1
Haiku Warrior,5.65,2
Spank the Yeti: The Adult Party Game of Questionable Decisions,5.73,1
Aunt Millie's Millions,5.69,1.13
Globalization,5.67,2.57
Lil' Cthulhu,5.45,1.60
SET Junior,5.50,1
Flea Market,5.51,1
Monopoly: The Heirloom Edition,5.38,2
Tricks,5.61,1.43
Tank Commander: The Eastern Front,5.90,2.50
2ème D.B. 'I' Normandie,5.64,3.14
IQube,5.52,0
Grunwald 1410,5.73,2.86
Scene It? 80s,5.54,1
Tabu Body Talk,5.64,1.60
Weapons & Warriors: Lashout Launcher Set,5.62,1
Pussy Cat,5.51,1.56
Shopping List,5.55,1
GearSeed,5.54,1.50
Code Monkey Island,5.39,1.50
Party Scrabble,5.66,2.33
Konito?,5.57,1
"Therapy, The Second Session",5.50,1.20
FutuRisiKo,5.60,2.05
Mömmen,5.59,1
North Sea Oil,5.50,2.20
Jumpin,5.52,1.62
War of the States: Chickamauga & Chattanooga,5.53,2.58
Would I Lie to You?,5.48,0
Pro Foto-Football,5.55,1.20
Viewpoint,5.88,1.50
Avatar: The Last Airbender Trading Card Game,5.50,1.90
Beyblade,5.62,1
Six,5.50,1
Activity Club-Edition,5.59,1.33
A.D.A.P.T.,5.70,2.86
Three Little Pigs,5.56,1
Kitten Klash,5.78,1
Sputnik,5.55,1.29
Cranium Junior,5.42,1
Broomsticks and Backflips,5.50,1
KRASH!,5.74,1.75
Pick Your Poison,5.57,1
"Rette sich, wer kann!",5.58,1
Glory Road: The First Battle of Bull Run,5.64,2.80
Code Breaker,5.45,2
Click Clack,5.49,1
Abagio,5.50,1
The Brady Bunch Party Game,5.93,2
Pie Rats of the Carob Bean Farm,6.28,0
Bücherwurm,5.50,0
The Baton Races of Yaz,5.43,1.86
Die kleine Hexe,5.56,1
"New Phone, Who Dis?",5.57,1
In Pursuit,5.55,1.83
Animocrazy 豬事議會,5.52,1.28
Giraffometer,5.62,1
Dingbats,5.56,0
Adeptus Titanicus II,5.53,2
James Bond 007,5.57,1.17
Words with Friends,5.50,1
Point-Blank,5.63,1.33
Bobby Sitter,5.50,1
Zombeasts,5.70,1.67
Charge it!,5.62,1
Clickbait,5.37,1
Diabolo,5.51,1.35
Chaos,5.56,1.50
Im Reich des weißen Bären,5.67,1.13
Superbohaterowie,5.63,1
Festival,5.50,1.50
Killer Angels,5.71,4.56
InuYasha TCG,5.65,2.40
Rome At War I: Hannibal at Bay,5.56,2.17
Alfapet,5.55,1.94
Rhumb Line,5.63,1.17
For Fame & Fortune,5.55,1.43
Tooor!,5.50,1.50
Hopple-Popple,5.48,1
The Garden Game,5.94,2
Verrat!,5.43,3
Saratoga: 1777 - Burgoyne vs Gates,5.37,2.57
Movie Trailer,5.59,0
Button Up!,5.54,1.13
Port of Piraeus,5.68,2
Pennant Race,5.55,1.92
Motto,5.47,1.33
Froop!,5.50,1.14
Waz Baraz,5.51,1.50
Muses,5.51,1.13
Mermaid Beach,5.77,1
Lankhmar,5.63,2
Sid Meier's Civilization: The Boardgame,5.60,3.66
War! Age of Imperialism,5.61,2.80
Super Kitty Bug Slap,5.49,1
Crime Solvers,5.77,3
Black Hole,5.56,1.70
HeroCard Galaxy,5.66,2.17
Star Wars: Star Battle,5.44,2
Chutes Away!!!!!,5.51,1.25
Kazink,5.54,1
Discover India,5.49,1.80
Officinalis,5.55,0
Teenage Mutant Ninja Turtles Game,5.51,1.21
The Witcher: The Adventure Card Game,5.60,2.08
LEGO Time Cruisers Game,5.56,1
UNO House Rules,5.57,1
"Piraten, Planken & Peseten",5.43,1.57
Rackare!,5.56,1.50
This Belongs in a Museum,5.77,2.50
Fanhunter: Las Montañas de la Locura - Electric Boogaloo,5.73,1.50
Kronen für den König,5.48,2
A Dog's Life,5.53,1.84
Dear Leader,6.07,1
Highlander: The Duel,5.63,1
Take a Chance,5.59,1.25
Abbeville 1940,5.62,2.83
Ninja Dojo Fight!,5.55,1
Hippo Hopp,5.53,1
Solo Tower Hack,5.59,1.55
Crimson Creek,5.65,2.67
Bid It,5.45,1
Bullwinkle and Rocky Role Playing Party Game,5.54,1
Big Deal,5.57,3.14
Shrieks & Creaks,5.86,1.50
Candidate,5.55,2
Fight on the Beaches,5.64,2.70
Animal Express,5.48,1.14
Uno: 30 Year Anniversary Edition,5.72,1
Monopoly: Game of Thrones,5.52,1.33
1984: Animal Farm,5.51,2.63
Mess Machine,5.61,2
Raise the Roof,5.73,1
I Think You Think I Think,5.49,1.67
Nacho Loco,5.56,1
Race to Riches,5.46,1.83
Café Race,5.53,1.27
Math Dice Jr.,5.49,1
UNO Hearts,5.62,2.09
3UP 3DOWN,5.72,1.50
1500: The New World,5.45,2.20
Monopoly: CityVille,5.66,0
Mob City,5.87,3
Arcadia: The Wyld Hunt,5.60,2.23
Math Dice,5.48,1.67
G.O.O.T.M.U.,5.53,1.47
Dumm gelaufen!,5.51,1.20
Topminos,5.47,1.50
NE-spelet,5.59,2.20
Mini Funny Bunny,5.45,1
Scoop,5.70,1.55
Eurooppa Tietopeli,5.53,2
Columbo Detective Game,5.58,2
Crisis: 2000,5.45,1.83
Hoppa Galoppa,5.55,1
Gateway to the Stars,5.50,3
Fruit Ninja: Combo Party,5.54,1
Gemischtes Doppel,5.50,1.33
Legie,5.55,2.67
Red Star/White Star: Tactical Combat in Europe in the 1970's,5.71,3.10
Icebergs,5.47,1.33
Tempus Draconis,5.57,1.50
Miau!,5.45,1
Hot Seat,5.53,1
Monsters of the Midway,5.56,2.33
Bounce-Off Rock 'N' Rollz!,5.47,0
Bayon,5.53,1.60
Squillo: Bordello d'Oriente,5.57,2
Disney Charades Game,5.63,1.33
Prickly Pile-Up,5.62,1
Junior Stratego,5.47,1
Set Schnupperspiel,5.34,2.50
Giant UNO,5.49,1
Crazy Bugs,5.49,1.33
Evo,5.72,2
Bethump'd with Words,5.58,2
Dare to Dream,5.89,2.50
Terra Evolution: Tree of Life,5.44,2
Evolution,5.46,1.67
Little Dungeon: Turtle Rock,5.83,1
Combat,5.58,1.17
Isaac Asimov's Super Quiz,5.61,2.60
Sagaland Mitbringspiel,5.51,1
Wonderland,5.55,1
Round the World,5.54,1
Code Sudoku,5.56,2.83
Squillo: Marchettari Sprovveduti,5.68,2
Eyes on the Prize,5.59,0
Trivial Pursuit: 25th Anniversary Edition,5.57,1.31
Balloon Pop!,5.48,1
Rail Raiders Infinite,5.51,1.27
Torches & Pitchforks,5.52,1.64
ChiZo RISING,5.64,2.14
Rich Uncle,5.80,1.31
History's Mysteries Card Game,5.50,1.33
Two Crowns,5.70,1.50
Crazy Farmers and the Clôtures Électriques,5.88,2.25
Such & Such,5.48,1.33
The Big One,5.57,1.60
Witty Pong,5.52,1
Succesvol slecht zijn,5.68,1.80
Pokémon TCG: Rumble,5.79,1.25
Air Alliance,5.46,3
In Love,5.55,1.33
Snit Smashing,5.54,1.53
Clash of Steel,5.70,3.23
Realm of Heroes,5.49,1.50
"Flying Circus: Tactical Aerial Combat, 1915-1918",5.81,2.67
Project KGB: The Double Agent,5.63,2.50
Mapominoes: United Kingdom,5.51,0
Polar Dare!,5.54,1.22
DiceBot MegaFun,5.67,1
Pointless: The Travel Game,5.43,1
Bookchase,5.43,2
Barbacan,5.53,1.33
INTERACTION: No more boredom!,6.79,1
Bejeweled,5.60,1.63
Ave Tenebrae,5.48,3.17
Epic Roll,5.75,1.20
The Great Brain Robbery,5.53,1.31
Monopoly: Futurama Collector's Edition,5.74,2.50
Teen Titans Collectible Card Game,5.51,2
Politics as Usual,5.72,1.69
Struggle For The Throne: Star Trek III,5.66,2.50
Wild Cats,5.62,1
Claim to Fame,5.42,1.33
Shadow of the Elder Gods,5.53,2.14
Ligretto 2,5.52,1.07
Battle Yahtzee: Alien vs. Predator,5.47,1
The Hobbit: Enchanted Gold,5.59,1.17
Les Cabanes de M'sieur Robinson,5.43,2
Mau Mau Extreme,5.45,2
The Open Road,6.19,1
Don't You Forget It,5.37,1
Wojny Napoleonskie,5.53,2.57
Pictionary Card Game,5.48,1.18
Fast Lane,5.40,1
Husch Husch kleine Hexe,5.51,1
Scene It? Marvel Deluxe,5.48,1
Knock Out Whist,5.52,1.56
Pinocchio: True or False,5.39,1.20
The Hobbit: An Unexpected Journey - Journey to the Lonely Mountain Strategy Game,5.45,3.50
Crash Pilot,5.43,1.14
Smash City,5.67,1
Bärenspiel,5.44,1
King Arthur,5.43,1.50
Butim,5.48,1.50
Mad Dash!,5.43,1
Kalle Kanalratte,5.41,1
Don't  Quote Me,5.47,1
Seven!,6.27,2.33
PsychoPet: The Nutty Pet Clinic,5.49,1.50
Hochstapler,5.50,1.25
Wiggling Cow,5.44,1
Das Pferd von Troja,5.46,1.83
Ciao!,5.47,1
Putsch,5.49,3.29
Secret Santa,5.55,1.50
Halli Galli Junior,5.47,1
Eureka!,5.49,1
Mines of the Sacred Dragon,5.62,2
Esels-Rennen,5.52,1.18
The Italian Campaign: Salerno,5.63,3.33
Chicago Gangsters,5.50,1.33
Disney Eye Found It!,5.57,1
Tricky Druids,5.50,2
Meteo,5.50,2.30
Robotics,5.51,1.73
Lost Gold,5.52,1
Taverne de la Crypte,5.33,0
"Hurtgen Forest: Approach to the Roer, November 1944",5.65,2.14
Option,5.54,2.14
Europe at War,5.59,3.27
Final Boss: The card game,6.16,2.50
Zacrobates,5.59,1.20
Battleship Torpedo Attack,5.54,1.33
Piekło na Pacyfiku,5.56,2.50
Kaiten Sushi,5.37,1.45
C&O/B&O,5.51,2.13
Slide 5,5.47,2
Ice Cult,5.39,0
Turista Mundial,5.94,1
SmileyFace,5.51,1.24
Chelsea,5.49,1.86
Aya,5.54,1.33
The Roaring 20's,5.47,2
The Livestock Market,5.67,1
Rick and Morty: Tráfico de Megasemillas,5.31,3
Kasl,5.51,2.43
Trivial Pursuit: The 90s,5.43,2
I Dissent,5.48,2
Warage Card Game,5.42,2.50
Stockers!,5.37,1.40
Sour Apples to Apples,5.57,1.14
Argue,5.58,1
Chicken Chase,5.42,1.25
Puls,5.28,1
Stranded,5.55,1.67
Quizduell: Das Spiel,5.40,1
Harry Potter: A Year at Hogwarts,5.66,2.25
Lützen,5.50,2.60
Saludos Amigos!,5.48,1.88
Demon Espionage,7.65,0
Scene It? Seinfeld,5.51,1.67
Challenge Golf at Pebble Beach,5.58,1.17
Speculation,5.52,2.33
Tower Siege,5.42,2.20
Transfer,5.46,1.75
Dragi Drache,5.44,1
"Sexy, el juego del arte del flirteo",5.83,2
Worker Placement,5.45,2.22
Penny Arcade: Paint The Line ECG - Red Tide,5.55,1.92
Hey Froggy!,5.53,1.80
Monster Laundry,5.49,1
"""La Garde recule!""",5.40,1.55
Canopy Walk,5.53,1.67
Hang Four,5.48,1
Quest of the Magic Ring,5.47,1.63
Lost Galaxy: The Intergalactic Card Game,6.24,2
Challenge Yahtzee,5.57,1.67
Demons,5.51,2
Speed,5.49,1.11
Shave a Sheep,5.52,1.04
Splat!,5.58,1
Stormweavers,5.67,2.75
Trivial Pursuit: The Beatles Collector's Edition,5.53,2
up N dn,5.51,1.33
Mighty Warriors,5.56,1.25
FReNeTiC,5.40,2
Crossword,5.53,1
Apples to Apples: Family,5.53,1
Take the Cake,5.50,1
Trivial Pursuit: Know-It-All Edition,5.48,2
Scram,5.59,1
Obscura Tempora,5.48,1.50
Koekie Loeren,5.47,2
Grande y Peludo,5.66,0
Wo war's?,5.52,1
Kakerlaken-Duell,5.43,1
T-Rex,5.49,1.90
Counting Fun,5.47,0
Pool Party,5.45,1
City States of Arklyrell,5.46,2.50
House Flippers,5.69,1
Teddy's Colors & Shapes,5.38,1
Nerdy Inventions,5.52,1.63
RisiKard!,5.48,2
Exploration,5.56,1.44
Xochintlan,5.56,1.50
¡New Amici!,5.41,0
TacDex: Pirates,5.48,1.33
Musketeers,5.39,1.75
Flags of the World,5.50,1.63
Cube Checkers,5.57,2.50
Pirates: Quest for Davy Jones' Gold,5.55,1.56
Japanese: The Game,5.52,2.33
Captain Pirate,5.43,1.33
Foil,5.52,1.53
"Sesam, puzzle dich!",5.55,0
The Charade Game,5.41,1.75
Snafooey,5.43,1
Monster Mayhem,5.52,1.93
Top Gun: The Game of Modern Fighter Combat,5.79,1.71
The Wonderful World of Disney Trivia 2: The Sequel,5.65,1
Tintenherz,5.39,1.67
Bilekuosi,5.38,2.67
Boxers or Briefs?,5.56,1.05
Das Kollier,5.49,2.50
Pirate Plank,5.55,1.08
Flinke Flitzer,5.47,1
Das Letzte Kamel,5.45,1.50
Sau-Bande!,5.44,1
Harry Potter Halls of Hogwarts,5.58,1
Cosmic Pioneers,5.57,2
Taktvoll,5.37,1.50
Quest,5.37,1.67
Sugi,5.67,1.50
Gold Thief,5.61,1.50
Scattergories: The Card Game,5.55,1
J'te Gage Que...,5.51,1.04
No Peeking!,5.40,1
Wurf & Weg,5.48,1
Life Style,5.49,1.13
Tante Trudels Trödel,5.42,1
Hungry Hungry Hipsters,6.05,1
The Really Nasty Motor Racing Game,5.46,1.45
Bungee,5.50,1.13
Goth: The Game of Horror Trivia,5.57,1.29
Spice Navigator,5.45,1.50
Time War: A Game of Time Travel and Conflict,5.57,3.25
Million Dollars But... The Game: Expansion Pack 1,5.50,0
Khrysos Hunters,5.60,2
Quizoo,5.51,0
Pancake Pile-Up,5.39,1
Ex & Hopp,5.44,1.20
Battle of the Halji,5.41,3
The Game of LIFE: The Haunted Mansion - The Disney Theme Park Edition,5.54,1.50
What's GNU?,5.41,1.17
X Marks the Spot,5.43,2
Captain Treasure Boots,5.50,1.52
Maskenball Venezia,5.52,1.11
Jenga Casino,5.38,1.33
The Cohort,6.11,1.67
Cat 10,5.43,1.50
Orphans & Ashes,5.67,3
Dubious Alliance Fantasy Card Trading Game,6.36,2
Trivial Pursuit: Best of Genus,5.41,2.50
Irresponsibility: The Mr Toast Card Game,5.75,1
Stamp,5.41,2
Michelangelo,5.47,2.29
Römer,5.45,2
Monster Rejects,5.67,1
The Crocodile Hunter Game,5.54,1
Sea Kings,5.43,1.13
Finding Nemo,5.50,1
Mistrz Słowa,5.37,3
Jade König,5.51,2.50
Night of the Grand Octopus,5.51,1.44
Sky My Husband,5.36,1
Trifecta,5.86,1
Mango Tango,5.35,1
Teratozoic,5.53,1.89
Kitten Casualty,6.40,1
RARRR!!,5.46,1.85
Scattergories Junior,5.49,1.33
Trivial Pursuit: Genus (2) Edition (German),5.39,1.75
Cartes sur Table,5.28,1
Die Jagd nach dem Gral,5.46,1.80
Feed the Woozle,5.46,1
Bacon Wars,5.45,2
El Luchador Fantastico Grande,5.67,1
Bounty Hunter: Shootout at the Saloon,5.47,1.94
Joe Connaissant,5.42,0
Mimikri,5.45,1.25
Wordquest,5.60,1
Quizmysteriet,5.38,1
Management Material: Information Technology Edition,5.54,1.21
Stare! Junior Edition,5.47,1
Kryptonim: Lew Morski,5.47,2.29
Hungry as a Bear,5.45,1
Archmage Origins,5.30,1
Ovo,5.47,2
Ice Lake,5.50,1.40
Out of Sight,5.40,1.60
Tatort Tonne,5.28,0
Le Cercle,5.31,0
Nomadi,5.38,0
Dead Hand Chaos Poker,5.32,1.80
Catch the Mice,5.47,1.09
Dr. Gomb,5.56,2
NFL Game Day,5.58,0
"Perfidious Albion: Napoleon's (Hypothetical) Invasion of England, 1814",5.73,2.75
A Dark and Bloody Ground,5.45,2.85
Mario Party-e,5.62,1
Barricade,5.45,1
Cards Against Downtime,5.56,1
"Panda, Gorilla & Co",5.47,3
Bop-It Extreme,5.48,1
Ascended,6.34,0
Blockers! The Card Game,5.49,1.17
Football Champions,7.00,1.75
Sorry!  Card Game,5.39,0
Mystery! Motive for Murder,5.50,2
Human Interface: Be a Better Human,6.56,2.83
"Surf's Up, Dude!",5.50,1.76
Dragon Storm,5.56,2.50
Star Trek: The Card Game,5.49,2.67
Raise the Titanic,5.11,1
Zombie Rally,5.38,1.13
Treasure Hunt,5.48,2.20
Rommel y Montgomery,5.45,2.54
The Indian Mutiny,5.51,2.71
Where in the World?,5.44,1.17
Azteka,5.65,2.50
"Brezhnev's War: NATO vs. the Warsaw Pact in Germany, 1980",5.62,2
Dynamite,5.40,1.18
Stingy,5.36,1.80
Triplica,5.31,1
Home Improvement,5.43,2
"Pequenas Igrejas, Grandes Negócios",5.44,2
Red Beach One: Tarawa,5.56,2.67
ElfQuest Adventure Game,5.52,1.50
Laborigines,5.38,1.80
Hold Your Breath!,5.54,1.44
Scene it? Disney Deluxe Edition,5.58,1.50
An Enchanting Evening,5.44,1
Up Scope! Tactical Submarine Warfare in the 20th Century,5.42,3.90
GOPS,5.36,1.63
Crazy Chefs,5.50,1.33
Tripoley,5.54,1.48
Butts away! Heroes,5.36,1.25
Larceny,6,1.25
Your Worst Nightmare,5.51,1
Hit the Hat,5.42,1
The Singaporean Dream,5.53,1.25
Chess Race,5.43,1.33
Cut and Run,5.56,1.50
Let's Do Lunch!,5.42,1.14
Hagoth: Builder of Ships,5.52,1.57
Star Wars: Electronic Galactic Battle,5.47,1.56
Räuber,5.35,1.17
Der Goldene Kompass,5.49,1.90
Pirates of the Caribbean Buccaneer,5.42,1.56
Monopoly: Star Trek Continuum Edition,5.45,1.60
America Triumphant: The Battle of the Bulge,5.49,2.09
Scruples: Millennium Edition,5.73,1.67
Turtle Shells,5.36,1
Avalon,5.23,1.50
Slammer,5.29,1
Ninja vs Robot,5.46,1
Here Comes the Dog,5.57,1
Won Over,5.36,1
Dodoresque,5.59,1
Combots,5.46,2
Spingo,5.38,1.50
Simsala Hopp,5.38,0
